resource_path,folder,id,relic_name,level,leveltip,relic_type,price,sell_price,upgrade_merge_count,is_consumable,icon_path,tag_names,tag_paths,tooltip,desc,effects,effect_details,great_effects,great_effect_details
res://relics/level_1/001_猪猪存钱罐.tres,level_1,001,猪猪存钱罐,1,UNLEVELUP,COMMON,3,3,3,false,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc113.png,计划|历战,res://relic_tags/计划tag.tres|res://relic_tags/历战tag.tres,出售时额外获得一{gold}\n升级： 携带时，每经过一场战斗，出售时获得获得的{gold}+1\n,小猪的存钱罐，终会破碎,,,BattleWinActEffect,[0] BattleWinActEffect{}
res://relics/level_1/002_水桶.tres,level_1,002,水桶,1,UNLEVELUP,COMMON,3,2,3,false,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc340.png,守御,res://relic_tags/守御tag.tres,获得一{armor}\n升级：战斗胜利后额外{heal}已损失血量的20%\n,戴头上可以当头盔用,AddStatusEffect,[0] AddStatusEffect{status_data=res://status/armor.tres},,
res://relics/level_1/003_树枝.tres,level_1,003,树枝,1,UNLEVELUP,COMMON,3,2,3,false,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc88.png,凶器|剑,res://relic_tags/凶器tag.tres|res://relic_tags/剑tag.tres,{strength}+1\n升级：{charm}+1,谁没有用树枝做剑的小时候呢？,AddStatEffect,"[0] AddStatEffect{add_stats={ ""strength"": 1 }}",AddStatEffect,"[0] AddStatEffect{add_stats={ ""charm"": 1 }}"
res://relics/level_1/004_草甲.tres,level_1,004,草甲,1,UNLEVELUP,COMMON,3,2,3,false,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc1858.png,守御,res://relic_tags/守御tag.tres,一{armor}\n升级： {constitution}+2,,AddDerivedStatEffect,"[0] AddDerivedStatEffect{add_derived_stats={ ""static_damage_reduction"": 1 }}",AddStatEffect,"[0] AddStatEffect{add_stats={ ""constitution"": 2 }}"
res://relics/level_1/005_兑换券.tres,level_1,005,兑换券,1,UNLEVELUP,COMMON,3,2,3,false,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc106.png,好好顾客,res://relic_tags/好好顾客tag.tres,{luck}+1，出售时立即免费{shop_refresh}一次\n升级： 出售时效果变为获得一次免费{shop_refresh}\n,某种兑换卷，可以把它交给商人补充货物,SellShopRefreshEffect|AddStatEffect,"[0] SellShopRefreshEffect{} || [1] AddStatEffect{add_stats={ ""luck"": 1 }}",,
res://relics/level_1/006_布鞋.tres,level_1,006,布鞋,1,UNLEVELUP,COMMON,3,2,3,false,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc1952.png,灵动敏锐,res://relic_tags/灵动敏锐.tres, {speed}+1\n升级：{speed}额外+1\n,轻便舒适,AddStatEffect,"[0] AddStatEffect{add_stats={ ""speed"": 1 }}",AddStatEffect,"[0] AddStatEffect{add_stats={ ""speed"": 1 }}"
res://relics/level_1/007_绑带.tres,level_1,007,绑带,1,UNLEVELUP,COMMON,3,2,3,false,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc1852.png,灵动敏锐,res://relic_tags/灵动敏锐.tres,{dexterity}+1\n升级：{speed}+1\n,缠在腿上可以让你走得更远,AddStatEffect,"[0] AddStatEffect{add_stats={ ""dexterity"": 1 }}",AddStatEffect,"[0] AddStatEffect{add_stats={ ""speed"": 1 }}"
res://relics/level_1/008_背包.tres,level_1,008,背包,1,UNLEVELUP,COMMON,3,2,3,false,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc2031.png,计划|存量,res://relic_tags/计划tag.tres|res://relic_tags/存量tag.tres,装备时获得额外一个储备空间格\n升级：再额外获得一个储备空间格\n,,AddInventorySlotsEffect,[0] AddInventorySlotsEffect{},AddInventorySlotsEffect,[0] AddInventorySlotsEffect{}
res://relics/level_1/009_粗糙匕首.tres,level_1,009,粗糙匕首,1,UNLEVELUP,COMMON,3,2,3,false,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc1791.png,诅咒|凶器,res://relic_tags/诅咒tag.tres|res://relic_tags/凶器tag.tres,{dexterity}+2，{speed}+2，进入战斗时立即流失7点生命\n升级：{dexterity}+1，{speed}+1\n,使用时可能会伤到手，小心,AddStatEffect|BattleStartSelfDamageEffect,"[0] AddStatEffect{add_stats={ ""dexterity"": 2, ""speed"": 2 }} || [1] BattleStartSelfDamageEffect{damage=7.0}",AddStatEffect,"[0] AddStatEffect{add_stats={ ""dexterity"": 1, ""speed"": 1 }}"
res://relics/level_1/010_雪球.tres,level_1,010,雪球,1,UNLEVELUP,COMMON,3,2,3,true,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc383.png,消耗品|寒霜,res://relic_tags/消耗品tag.tres|res://relic_tags/寒霜tag.tres,丢出立即对小范围的敌人造成40点基础伤害并给与减速5秒\n升级:基础伤害提升到50点,超级大雪球！！！,UseSpawnManifestEffect,"[0] UseSpawnManifestEffect{manifest_scene=res://scenes/ability/manifest/snowball_thrown_manifest.tscn; levelup_manifest_property_overrides={ ""damage"": 50.0 }; use_hold_to_aim=true; preview_shape=2}",,
res://relics/level_1/015_假牙.tres,level_1,015,假牙,1,UNLEVELUP,COMMON,3,2,3,false,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc233.png,饰品,res://relic_tags/饰品tag.tres,{charm}+1\n升级：{charm}+1,有一副好牙齿说话时便不用担心漏风了,AddStatEffect,"[0] AddStatEffect{add_stats={ ""charm"": 1 }}",AddStatEffect,"[0] AddStatEffect{add_stats={ ""charm"": 1 }}"
res://relics/level_1/016_眼镜.tres,level_1,016,眼镜,1,UNLEVELUP,COMMON,3,2,3,false,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc2064.png,饰品|洞察,res://relic_tags/饰品tag.tres|res://relic_tags/洞察tag.tres,{intelligence}+1\n升级：{intelligence}+1\n,戴上会显得更智慧。。。吗？,AddStatEffect,"[0] AddStatEffect{add_stats={ ""intelligence"": 1 }}",AddStatEffect,"[0] AddStatEffect{add_stats={ ""intelligence"": 1 }}"
res://relics/level_1/017_生肉.tres,level_1,017,生肉,1,UNLEVELUP,COMMON,3,2,3,true,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc488.png,消耗品|原料,res://relic_tags/消耗品tag.tres|res://relic_tags/原料.tres,使用后{strength}+2，{heal}3生命\n升级：使用后{strength}额外+1\n,建议烤烤再吃,UseHealEffect|UseAddStatsEffect,"[0] UseHealEffect{heal_amount=3.0} || [1] UseAddStatsEffect{add_stats={ ""strength"": 2 }}",UseAddStatsEffect,"[0] UseAddStatsEffect{add_stats={ ""strength"": 1 }}"
res://relics/level_1/018_石头.tres,level_1,018,石头,1,UNLEVELUP,COMMON,3,2,3,true,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc384.png,凶器|消耗品,res://relic_tags/凶器tag.tres|res://relic_tags/消耗品tag.tres,向鼠标方向投掷一颗石块，造成50基础伤害，伤害同时受{strength}与{dexterity}加成。\n升级：基础伤害增加到80,这可不是颗小石头啊,UseSpawnManifestEffect,"[0] UseSpawnManifestEffect{manifest_scene=res://scenes/ability/manifest/consumable_stone_manifest.tscn; levelup_manifest_property_overrides={ ""damage"": 80.0 }; use_hold_to_aim=true; preview_shape=1; preview_width=46.0}",,
res://relics/level_1/037_鲜艳蔬菜.tres,level_1,037,鲜艳蔬菜,1,UNLEVELUP,COMMON,3,2,3,true,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc553.png,原料|消耗品,res://relic_tags/原料.tres|res://relic_tags/消耗品tag.tres,使用后立即受到5点伤害并获得{strength}+1，{intelligence}+2，{constitution}+1\n升级：使用后额外{heal}6点生命,,UseSelfDamageEffect|UseAddStatsEffect,"[0] UseSelfDamageEffect{damage=5.0} || [1] UseAddStatsEffect{add_stats={ ""constitution"": 1.0, ""intelligence"": 2.0, ""strength"": 1.0 }}",UseHealEffect,[0] UseHealEffect{heal_amount=6.0}
res://relics/level_1/039_打火机.tres,level_1,039,打火机,1,UNLEVELUP,COMMON,3,2,3,false,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc83.png,火炎,res://relic_tags/火炎tag.tres,受到伤害时，对伤害来源造成20点火焰反伤。\n升级：反伤提高到30点。,敢靠近的人都烫他一下,DamageRetaliationEffect,"[0] DamageRetaliationEffect{levelup_bonus_damage=10.0; tags=Array[String]([""retaliation"", ""fire"", ""lighter""])}",,
res://relics/level_2/011_极寒之星.tres,level_2,011,极寒之星,2,UNLEVELUP,UNIQUE,5,2,99,false,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc26.png,寒霜|凶器,res://relic_tags/寒霜tag.tres|res://relic_tags/凶器tag.tres,装备后可使用额外{active_skill}： 冰锥齐射，释放冰锥对命中的敌人造成伤害并概率施加{freeze}\n升级：你的冰冻伤害+2,雪山上有很多这种不化的冰晶，只是很难采到,GrantActiveSkillEffect,[0] GrantActiveSkillEffect{skill_data=res://activate_skill/106_ice_piton.tres},AddOutgoingDamageBonusEffect,[0] AddOutgoingDamageBonusEffect{required_damage_types=Array[int]([3]); flat_bonus=2.0}
res://relics/level_2/012_雪暴瓶.tres,level_2,012,雪暴瓶,2,UNLEVELUP,COMMON,3,2,3,false,res://assets/Free - Raven Fantasy Icons/Separated Files/64x64/fc55.png,寒霜|灵动敏锐,res://relic_tags/寒霜tag.tres|res://relic_tags/灵动敏锐.tres,装备后移动的路径上会短暂出现冰霜残迹，经过路径的敌人会受到2点冰冻伤害并短暂减速2秒\n升级：{speed}+2,可惜我们不会跳,SpawnOwnerTrailManifestEffect,[0] SpawnOwnerTrailManifestEffect{manifest_scene=res://scenes/ability/manifest/frost_way_manifest.tscn; spawn_interval=0.22; min_spawn_distance=10.0; initial_spawn=false},AddStatEffect,"[0] AddStatEffect{add_stats={ ""speed"": 2 }}"
